Timestamp,Name :,How often do you read books ?  ,What is your preferred book length ?  , Who is your favorite author or book ?     ,How do you usually feel while reading ?         , Would you like to read the following genres ?,Which is your *most preferred genre ? ,
2025/06/21 9:51:46 AM GMT+5:30,Shanks,Rarely,<100 pages,JK rowling,Focused,Fiction;Thriller,Fiction,
2025/06/21 9:51:54 AM GMT+5:30,Robin,Daily,300â€“500 pages,Oda,Excited,Fiction;Sci-Fi;Biography;Thriller,Biography,Option 1
2025/06/21 9:52:26 AM GMT+5:30,Shalini,Monthly,100â€“300 pages,William Shakesphere,Emotional,Fiction;Self-help;Fantasy,Fantasy,
2025/06/21 9:52:35 AM GMT+5:30,Levi,Daily,300â€“500 pages,Rich dad poor dad,Focused,Biography,Self-help,
2025/06/21 9:53:16 AM GMT+5:30,Praveen Ramnath,Rarely,100â€“300 pages,The atomic habits,Relaxed,Biography,Self-help,
2025/06/21 9:53:58 AM GMT+5:30,vairaselvi,weekly,100â€“300 pages,shakespeare,Relaxed,Fiction,Self-help,Option 1
2025/06/21 9:53:59 AM GMT+5:30,Praveen D,weekly,<100 pages,John,Excited,Self-help,Self-help,
2025/06/21 9:54:02 AM GMT+5:30,Praveen,Daily,<100 pages,Praveen nataraj,Focused,Fiction;Sci-Fi;Self-help,Self-help,Option 1
2025/06/21 9:54:52 AM GMT+5:30,Anantha Krishnan R ,Rarely,25,Anantha Krishnan ,Focused,Thriller,Sci-Fi,
2025/06/21 9:55:02 AM GMT+5:30,Surya,Monthly,300â€“500 pages,Surya anandh,Relaxed,Fiction;Sci-Fi,Fiction,
2025/06/21 9:55:12 AM GMT+5:30,Thanmanan R,weekly,300â€“500 pages,Pride and prejudice ,Relaxed,Self-help;Thriller,Thriller,Option 1
2025/06/21 9:55:44 AM GMT+5:30,Venkat,weekly,>500 pages,Venkat raman,Bored,Thriller;,Biography,
2025/06/21 9:55:49 AM GMT+5:30,Deepika ,weekly,<100 pages,Wings of fire ,Focused,Thriller,Thriller,Option 1
2025/06/21 9:55:56 AM GMT+5:30,Hari,Monthly,300â€“500 pages,Percy Jackson,Excited,Thriller,Thriller,
2025/06/21 9:56:05 AM GMT+5:30,Bhava Akshaya,Monthly,>500 pages,Harry Potter,Excited,Sci-Fi;Thriller;Fantasy,Thriller,
2025/06/21 9:56:06 AM GMT+5:30,Lognath A,Monthly,<100 pages,A Room with view,Relaxed,Fantasy,Self-help,
2025/06/21 9:56:34 AM GMT+5:30,Prasanth,Monthly,>500 pages,Prasanth kumar,Focused,Fantasy,Fantasy,
2025/06/21 9:56:41 AM GMT+5:30,Luffy,weekly,300â€“500 pages,Harry potter,Focused,Fiction;Sci-Fi,Fiction,
2025/06/21 9:56:42 AM GMT+5:30,Dharshini ,Rarely,<100 pages,William Shakespeare,Focused,Self-help,Fiction,Option 1
2025/06/21 9:56:49 AM GMT+5:30,Rithick ,weekly,300â€“500 pages,Jane Eyre,Excited,Biography;Thriller,Self-help,Option 1
2025/06/21 9:57:19 AM GMT+5:30,Akilan ,Monthly,100â€“300 pages,Aakilan paari,Excited,Thriller,Thriller,
2025/06/21 9:57:58 AM GMT+5:30,Mani ,Rarely,<100 pages,Manik man,Emotional,Thriller,Thriller,
2025/06/21 9:58:12 AM GMT+5:30,Jaflet,Monthly,100â€“300 pages,Secret wish list,Focused,Sci-Fi;Self-help,Biography,Option 1
2025/06/21 9:58:35 AM GMT+5:30,Kamal,Rarely,>500 pages,Kannan,Focused,Biography,Biography,
2025/06/21 9:59:28 AM GMT+5:30,Yoga chandra shri s,Rarely,<100 pages,Wings of fire,Bored,Fiction;Sci-Fi,Sci-Fi,
2025/06/21 9:59:40 AM GMT+5:30,sonia,weekly,<100 pages,atomic habits,Excited,Sci-Fi;Self-help,Self-help,Option 1
2025/06/21 10:00:05 AM GMT+5:30,Aswin kumar,Daily,100â€“300 pages,Wings of fire,Emotional,Biography,Biography,
2025/06/21 10:00:08 AM GMT+5:30,vairaselvi,Monthly,100â€“300 pages,ML,Excited,Self-help,Sci-Fi,Option 1
2025/06/21 10:00:14 AM GMT+5:30,Natraj ,weekly,300â€“500 pages,Oda,Excited,Sci-Fi;Self-help,Thriller,Option 1
2025/06/21 10:01:26 AM GMT+5:30,Bala,Rarely,100â€“300 pages,Rich dad and poor dad,Focused,Fiction;Sci-Fi;Self-help,Self-help,
2025/06/21 10:01:57 AM GMT+5:30,Sri,Daily,100â€“300 pages,Nolan,Relaxed,Fiction;Sci-Fi,Biography,
2025/06/21 10:03:02 AM GMT+5:30,vishali,weekly,<100 pages,Ai,Excited,Fiction;Sci-Fi,Sci-Fi,
2025/06/21 10:03:16 AM GMT+5:30,Madhumitha.M,weekly,300â€“500 pages,Once upon a time,Relaxed,Self-help,Self-help,Option 1
2025/06/21 10:03:57 AM GMT+5:30,Gopi,Monthly,300â€“500 pages,Nami ,Relaxed,Fiction;Sci-Fi,Fiction,
2025/06/21 10:04:29 AM GMT+5:30,Praveen,Monthly,<100 pages,John,Excited,Self-help,Self-help,
2025/06/21 10:04:31 AM GMT+5:30,Hari,Monthly,300â€“500 pages,Crow and curse,Excited,Fantasy,Fantasy,
2025/06/21 10:05:06 AM GMT+5:30,Deepika ,weekly,<100 pages,Wings of fire ,Focused,Thriller,Biography,Option 1
2025/06/21 10:05:43 AM GMT+5:30,Unni,Monthly,300â€“500 pages,Sub conscious mind ,Focused,Self-help,Biography,
2025/06/21 10:05:51 AM GMT+5:30,Deepika ,weekly,<100 pages,Wings of fire ,Focused,Thriller,Biography,
2025/06/21 10:05:56 AM GMT+5:30,B.lavanya,Rarely,300â€“500 pages,William Shakespeare ,Excited,Biography;Thriller;Fantasy,Thriller,
